Population TheBest TheWorst AVG
1 5195 6523 5939
2 5032 6427 5779
3 4971 6198 5646
4 4799 6122 5538
5 4751 6306 5439
6 4752 5989 5342
7 4567 6284 5251
8 4607 6065 5213
9 4594 6017 5127
10 4470 6074 5042
11 4428 5559 5002
12 4366 5751 4934
13 4322 5683 4813
14 4239 5714 4765
15 4251 5498 4689
16 4202 5569 4751
17 4375 5485 4772
18 4338 5273 4745
19 4306 5501 4684
20 4215 5412 4659
21 4007 5428 4592
22 3987 5246 4541
23 3984 5433 4563
24 3993 5532 4564
25 3970 5512 4618
26 3968 5278 4495
27 3913 5204 4410
28 3940 4975 4391
29 3934 5045 4355
30 3934 4925 4373
31 3934 5024 4401
32 3934 5061 4441
33 4008 5122 4448
34 4027 5272 4602
35 3923 5296 4511
36 3903 5015 4428
37 4001 5582 4546
38 4046 5270 4466
39 4046 5245 4447
40 4017 5594 4638
41 4002 5560 4553
42 4042 5647 4526
43 4071 5490 4559
44 3998 5446 4538
45 3998 5120 4517
46 4030 5234 4515
47 4030 5308 4519
48 3961 5606 4604
49 3856 5430 4636
50 3820 5393 4496
51 3858 5023 4347
52 3840 5476 4456
53 3844 5325 4361
54 3835 5259 4418
55 3844 5042 4320
56 3884 4828 4247
57 3902 4933 4330
58 3860 4806 4297
59 3748 5066 4278
60 3829 5168 4318
61 3829 5186 4386
62 3829 5167 4294
63 3829 5010 4324
64 3829 5115 4398
65 3829 5357 4441
66 3829 5236 4496
67 3932 5281 4447
68 3894 5639 4499
69 3930 5706 4523
70 3930 5193 4464
71 3930 5305 4532
72 3978 5443 4553
73 3990 5432 4508
74 3990 5235 4504
75 4027 5275 4489
76 3969 5270 4583
77 4004 5335 4610
78 4088 5415 4528
79 4012 5157 4496
80 4026 5742 4533
81 4020 5535 4547
82 4026 5645 4670
83 4026 5815 4693
84 4094 5765 4797
85 4088 5494 4583
86 4065 5196 4549
87 3995 5392 4501
88 4088 5069 4470
89 4091 5258 4493
90 3961 5101 4497
91 4101 5104 4496
92 3947 5637 4438
93 3942 5203 4558
94 4092 5207 4468
95 3864 4987 4410
96 4062 5274 4411
97 4085 5416 4504
98 3972 5743 4522
99 3972 5599 4517
100 3972 5678 4509

