Population TheBest TheWorst AVG
1 5334 6357 5834
2 5075 6460 5747
3 5003 6268 5571
4 4756 6093 5438
5 4658 5803 5311
6 4658 6174 5235
7 4584 5923 5219
8 4516 5677 5117
9 4540 5721 5076
10 4540 5829 5013
11 4440 5593 4940
12 4440 5415 4911
13 4440 5631 4895
14 4300 5371 4835
15 4117 5672 4751
16 4229 5581 4754
17 4122 5478 4739
18 4229 5278 4693
19 4109 5318 4616
20 4109 5437 4625
21 4038 5317 4571
22 4213 5506 4594
23 4008 5751 4638
24 4086 5865 4653
25 3823 5756 4535
26 4006 5514 4553
27 3996 5307 4473
28 3991 5457 4529
29 4009 5749 4573
30 4009 5381 4597
31 4009 5837 4681
32 4080 5278 4611
33 4080 5587 4611
34 4080 5537 4624
35 4076 5701 4588
36 4076 6057 4727
37 3722 5938 4729
38 3707 6344 4821
39 3707 6222 4766
40 3707 6169 4574
41 3707 5562 4622
42 3707 6109 4721
43 3707 5860 4673
44 3707 6061 4816
45 4001 6075 4733
46 4074 5057 4508
47 4017 5360 4499
48 3994 5215 4576
49 4069 5700 4542
50 3981 5471 4546
51 3981 5352 4540
52 3962 5130 4504
53 3962 5106 4502
54 4055 5612 4578
55 4055 5044 4464
56 3917 5150 4459
57 3917 5405 4562
58 4066 5585 4605
59 3972 5185 4529
60 3972 5271 4451
61 3807 5532 4392
62 3877 5414 4458
63 3877 5670 4456
64 3877 5441 4402
65 3877 6017 4433
66 3877 5344 4421
67 3877 5237 4377
68 3877 5233 4441
69 3790 4993 4417
70 3820 5046 4432
71 3833 5287 4311
72 3833 5130 4419
73 3777 5159 4417
74 3780 5107 4419
75 3833 5287 4483
76 3833 5509 4539
77 3833 5521 4467
78 3833 5679 4581
79 3833 5481 4484
80 3833 5783 4535
81 3833 5608 4367
82 3843 5618 4408
83 3723 4896 4300
84 3869 5389 4488
85 3869 4956 4305
86 3793 4817 4298
87 3923 5073 4340
88 3918 5087 4381
89 3918 4916 4364
90 3918 4999 4314
91 3918 5044 4321
92 3918 5100 4380
93 3918 4936 4360
94 3959 5275 4482
95 3959 5108 4449
96 3998 5075 4408
97 3998 5275 4569
98 4016 5225 4508
99 4016 5412 4635
100 4029 5665 4620

