Population TheBest TheWorst AVG
1 5093 6480 5924
2 5023 6381 5713
3 4798 6115 5548
4 4700 6024 5457
5 4812 6051 5292
6 4814 5843 5185
7 4447 5736 5148
8 4338 6020 5043
9 4447 5611 4917
10 4407 5369 4856
11 4457 5487 4810
12 4434 5576 4817
13 4409 5726 4876
14 4454 5964 4927
15 4359 5817 4940
16 4352 5726 4895
17 4352 5460 4792
18 4408 5353 4788
19 4418 5514 4827
20 4377 5620 4800
21 4338 5752 4874
22 4287 5563 4910
23 4287 5561 4894
24 4287 5916 4936
25 4287 5451 4839
26 4287 5670 4855
27 4287 5486 4841
28 4287 5686 4800
29 4293 5825 4818
30 4293 5354 4741
31 4178 5716 4775
32 4204 5126 4670
33 4190 5138 4618
34 4212 5459 4607
35 4212 5124 4529
36 4212 5617 4701
37 4212 5527 4615
38 4230 5382 4682
39 4253 5493 4837
40 4253 5657 4893
41 4253 5640 4834
42 4253 5560 4782
43 4208 5580 4780
44 4208 5438 4752
45 4208 5736 4750
46 4190 5534 4649
47 4192 5044 4539
48 4156 5459 4544
49 4156 5219 4536
50 4015 5211 4510
51 3887 5325 4494
52 4048 5264 4487
53 4048 5242 4520
54 4048 5339 4524
55 4048 5197 4566
56 4048 5779 4661
57 4048 6117 4812
58 4172 5871 4745
59 4172 5483 4691
60 4180 5483 4635
61 4180 6039 4753
62 4180 5695 4662
63 4192 5525 4691
64 4162 5602 4724
65 4162 5752 4632
66 4162 5900 4638
67 4142 5938 4533
68 4152 5301 4547
69 4176 5088 4555
70 3998 5736 4663
71 4176 5833 4664
72 4128 5586 4698
73 4126 5629 4656
74 4128 5765 4651
75 4128 5731 4707
76 4128 5962 4693
77 4092 5880 4722
78 4053 5537 4659
79 4092 5196 4548
80 3952 5325 4599
81 4079 5546 4564
82 4092 5443 4603
83 4092 5359 4560
84 4100 5533 4711
85 4071 5472 4600
86 4007 5896 4835
87 4060 5941 4803
88 3969 5850 4695
89 4060 5935 4670
90 4203 5469 4638
91 4106 5132 4520
92 3930 5207 4541
93 3836 5154 4434
94 3836 5082 4434
95 3772 5039 4427
96 3902 5494 4348
97 3725 4942 4299
98 3769 5060 4348
99 3600 5378 4319
100 3600 5767 4422

