Population TheBest TheWorst AVG
1 5167 6669 5954
2 5100 6584 5725
3 4971 6244 5555
4 4894 5824 5328
5 4776 6041 5246
6 4626 5981 5145
7 4570 5676 5073
8 4647 5501 5063
9 4588 5867 5045
10 4545 5918 5046
11 4510 6074 5022
12 4380 5946 4983
13 4329 5563 4850
14 4311 5563 4885
15 4314 5365 4796
16 4310 5575 4798
17 4289 5465 4797
18 4241 5517 4801
19 4287 5652 4803
20 4287 5534 4776
21 4209 5324 4697
22 4209 5612 4736
23 4041 5445 4625
24 4287 5134 4609
25 4116 5562 4654
26 4116 5384 4593
27 4047 5410 4511
28 4116 5219 4544
29 4112 5187 4574
30 4032 5366 4572
31 4032 5249 4560
32 3739 5687 4602
33 3739 5505 4574
34 3846 5563 4564
35 3837 5498 4359
36 3800 5255 4275
37 3743 5373 4300
38 3743 5826 4319
39 3677 4662 4150
40 3710 4714 4059
41 3708 4563 4067
42 3666 4951 4059
43 3479 5204 4207
44 3479 5314 4136
45 3479 5495 4097
46 3479 5602 4287
47 3711 5131 4192
48 3534 4935 4123
49 3680 4947 4157
50 3627 4970 4121
51 3634 4886 4109
52 3578 4997 4168
53 3565 5193 4195
54 3565 4988 4055
55 3543 5305 4012
56 3584 4706 4064
57 3584 4827 4071
58 3574 4556 4007
59 3451 4604 4012
60 3451 4518 3999
61 3594 5088 4096
62 3594 5734 4345
63 3623 5522 4277
64 3623 5718 4335
65 3623 5919 4377
66 3623 6299 4275
67 3624 5971 4256
68 3630 4781 4120
69 3613 4772 4114
70 3674 5847 4155
71 3446 4803 4107
72 3446 4735 4150
73 3641 5011 4171
74 3697 5042 4282
75 3697 5519 4533
76 3643 5475 4390
77 3634 5452 4299
78 3607 5140 4164
79 3681 5168 4176
80 3764 5648 4296
81 3664 5781 4188
82 3680 5634 4293
83 3680 4790 4170
84 3564 4785 4105
85 3564 4827 3982
86 3564 4680 3919
87 3531 5185 4151
88 3523 5570 4075
89 3531 5792 4348
90 3531 6119 4209
91 3531 6011 4344
92 3531 6018 4267
93 3531 5878 4256
94 3531 6010 4418
95 3531 5677 4331
96 3531 6020 4405
97 3531 5939 4236
98 3531 6288 4275
99 3624 6564 4177
100 3549 4991 4100

