Population TheBest TheWorst AVG
1 5313 6517 5901
2 5127 6258 5754
3 5067 6244 5578
4 5018 6313 5449
5 4749 6115 5349
6 4801 5984 5315
7 4737 6010 5287
8 4593 5845 5192
9 4438 5772 5114
10 4419 5841 5007
11 4348 5592 4871
12 4383 5705 4882
13 4305 5653 4844
14 4053 5475 4703
15 4180 5458 4795
16 4249 5474 4720
17 4141 5482 4625
18 4011 5637 4615
19 4133 5325 4594
20 4163 5339 4657
21 4166 5877 4690
22 4148 5689 4718
23 4101 5495 4570
24 3995 4999 4490
25 4006 5255 4503
26 4006 5366 4420
27 3899 5471 4411
28 3868 5160 4333
29 3903 5806 4733
30 3862 5396 4493
31 3939 5955 4552
32 3939 5497 4531
33 3939 5823 4462
34 3830 5586 4438
35 3830 5716 4529
36 3830 5714 4324
37 3830 4973 4283
38 3830 5251 4327
39 3830 5128 4281
40 3830 5638 4392
41 3830 5801 4544
42 3919 5576 4517
43 3919 5029 4356
44 3870 5466 4422
45 3870 5945 4435
46 3870 6115 4598
47 3838 6565 4712
48 3838 6150 4502
49 3838 6235 4515
50 3838 6147 4544
51 3838 5918 4495
52 3838 5974 4552
53 3838 5944 4659
54 3838 5788 4446
55 3838 6156 4457
56 3838 4851 4286
57 3838 6014 4524
58 3838 6252 4563
59 3838 6088 4517
60 3838 6261 4664
61 3838 6315 4659
62 3838 6259 4568
63 3890 6716 4558
64 3932 5636 4613
65 3932 5453 4568
66 3932 5949 4527
67 3932 6120 4840
68 3932 6169 4854
69 3932 5870 4724
70 4028 6295 4773
71 4028 5263 4606
72 4028 5169 4626
73 4028 5193 4551
74 4028 5516 4579
75 4021 5432 4580
76 4016 5641 4626
77 3999 5495 4516
78 3929 5350 4429
79 3929 5361 4356
80 3923 5401 4486
81 3923 5143 4445
82 3978 5186 4439
83 3825 5751 4509
84 3895 5773 4452
85 3875 5247 4383
86 3875 5178 4327
87 3933 5291 4453
88 3933 5294 4486
89 3890 5158 4504
90 3869 5639 4474
91 3783 5280 4404
92 3795 5134 4328
93 3807 5309 4248
94 3721 5773 4281
95 3721 4824 4220
96 3721 5077 4219
97 3721 4881 4229
98 3721 5176 4181
99 3721 4995 4261
100 3493 4836 4228

