Population TheBest TheWorst AVG
1 5216 6640 5984
2 5088 6638 5855
3 5034 6666 5652
4 4904 6297 5494
5 4674 6198 5359
6 4839 5816 5268
7 4839 5939 5187
8 4629 5558 5088
9 4650 5582 5034
10 4589 5572 4960
11 4327 5612 4987
12 4479 5746 4980
13 4461 5885 4948
14 4390 6038 4989
15 4337 6672 4943
16 4334 5389 4839
17 4260 5694 4809
18 4204 5730 4798
19 4221 5931 4730
20 4221 6281 4841
21 4192 6037 4748
22 4269 5320 4658
23 4247 5106 4616
24 4069 5450 4673
25 4069 5533 4688
26 4023 5016 4519
27 4023 5149 4510
28 4023 5324 4443
29 3937 5305 4473
30 3918 5514 4531
31 3899 5616 4640
32 3899 5632 4582
33 3956 5627 4467
34 3956 5846 4706
35 3956 5726 4719
36 3956 6090 4714
37 3956 5973 4744
38 4023 6395 4913
39 4023 6421 4767
40 4023 6501 4774
41 4023 6281 4668
42 4023 6549 4769
43 4023 6782 5133
44 4023 6474 5073
45 4184 6626 4814
46 4184 5245 4722
47 4160 5779 4741
48 4184 5775 4858
49 4184 5798 4940
50 4184 6090 4826
51 4111 5926 4769
52 4111 5770 4668
53 4111 5929 4643
54 4027 5214 4550
55 4027 5389 4545
56 4137 5286 4543
57 4137 5471 4555
58 3950 5287 4549
59 3990 5223 4542
60 3990 5296 4545
61 3970 5645 4601
62 4028 5631 4623
63 4028 5562 4713
64 4012 5594 4675
65 3898 5848 4588
66 3898 5804 4565
67 3898 5715 4500
68 3850 5147 4438
69 3812 5032 4314
70 3812 4969 4256
71 3850 5326 4281
72 3847 5437 4407
73 3847 5248 4294
74 3847 5234 4302
75 3847 5562 4620
76 3847 5466 4458
77 3847 5682 4588
78 3907 5793 4547
79 3907 5366 4441
80 3986 5187 4425
81 3829 5130 4382
82 3764 5214 4420
83 3868 5056 4361
84 3812 4967 4288
85 3838 5321 4274
86 3708 5252 4293
87 3708 5333 4299
88 3708 4933 4234
89 3708 5247 4454
90 3708 5647 4438
91 3708 5806 4632
92 3708 5838 4651
93 3864 5788 4620
94 3864 5396 4567
95 3876 5400 4484
96 3930 5283 4437
97 3953 5102 4378
98 3881 5939 4585
99 3881 5722 4488
100 4026 5406 4399

