Population TheBest TheWorst AVG
1 5231 6689 5915
2 5198 6156 5682
3 5091 6107 5584
4 5016 6241 5488
5 4980 6059 5397
6 4900 5953 5317
7 4742 6043 5192
8 4677 5783 5225
9 4682 6001 5183
10 4464 5951 5163
11 4464 5588 5110
12 4636 5630 5118
13 4643 5830 5085
14 4479 5885 5022
15 4446 5482 4930
16 4467 5729 4884
17 4303 5821 4826
18 4303 5635 4823
19 4090 5712 4719
20 4090 5491 4573
21 4136 5044 4491
22 4128 5131 4477
23 4117 5047 4409
24 3694 5629 4560
25 3874 5912 4674
26 3951 6223 4434
27 3845 5794 4301
28 3845 5384 4314
29 3796 4945 4267
30 3925 5184 4345
31 3925 5228 4386
32 3889 5476 4424
33 3829 5586 4331
34 3799 5368 4277
35 3762 5152 4300
36 3829 5970 4588
37 3829 6003 4415
38 3829 5253 4322
39 3829 5982 4736
40 3829 5809 4767
41 3829 6028 4521
42 3829 5653 4501
43 3698 5706 4509
44 3829 5525 4558
45 3564 5765 4494
46 3815 5128 4399
47 3704 5107 4344
48 3784 5026 4248
49 3784 4794 4231
50 3784 4940 4234
51 3802 4987 4309
52 3802 5114 4307
53 3802 5088 4306
54 3831 5273 4359
55 3831 5371 4326
56 3831 5582 4364
57 3831 5173 4413
58 3831 5310 4433
59 3831 5299 4346
60 3831 5675 4482
61 3831 5567 4482
62 3831 5161 4346
63 3880 5165 4382
64 3886 4934 4368
65 3803 4920 4338
66 3803 5063 4297
67 3832 5161 4369
68 3832 5433 4409
69 3832 5573 4507
70 3832 5571 4504
71 3832 5444 4469
72 3832 5221 4374
73 3832 5472 4430
74 3862 5591 4484
75 3862 5379 4427
76 3862 5071 4370
77 3684 5282 4420
78 3684 5034 4286
79 3748 4991 4295
80 3761 4771 4292
81 3714 5160 4328
82 3714 4977 4320
83 3768 4981 4315
84 3768 5213 4288
85 3768 5477 4281
86 3768 5182 4292
87 3768 5473 4472
88 3737 5938 4503
89 3735 5876 4406
90 3737 6074 4484
91 3725 5944 4504
92 3701 5480 4451
93 3716 5847 4383
94 3656 5583 4389
95 3656 5752 4435
96 3749 5139 4284
97 3730 5096 4281
98 3768 5209 4320
99 3768 5114 4351
100 3725 5266 4327

