Population TheBest TheWorst AVG
1 5100 6555 5937
2 5175 6395 5783
3 5071 6367 5612
4 4891 6150 5443
5 4687 6132 5380
6 4587 6090 5252
7 4687 6080 5140
8 4381 6056 5122
9 4484 5560 5025
10 4557 5637 5008
11 4551 6325 5053
12 4559 5950 4970
13 4539 5580 4906
14 4373 5532 4877
15 4243 5404 4790
16 3941 5546 4715
17 3941 5234 4581
18 3941 5239 4526
19 3941 5177 4493
20 3829 5512 4471
21 3829 5383 4470
22 3829 5507 4395
23 3829 5676 4595
24 3829 5799 4706
25 3829 5992 4647
26 3936 5885 4493
27 4047 5532 4554
28 4062 5654 4626
29 3979 5569 4441
30 3909 5219 4467
31 3803 5143 4453
32 3803 5164 4445
33 3991 5155 4431
34 3991 5484 4471
35 3914 5756 4579
36 3991 5654 4590
37 4044 5765 4595
38 3924 6220 4542
39 3924 6018 4494
40 3923 5325 4536
41 3909 5160 4494
42 3839 4972 4378
43 3909 5279 4435
44 3909 5276 4425
45 3909 5191 4411
46 3909 5640 4567
47 3909 5767 4824
48 3909 5561 4667
49 4096 5527 4682
50 4116 5529 4635
51 4116 5218 4494
52 3861 5512 4546
53 3874 5490 4621
54 3966 5582 4528
55 3989 5923 4600
56 4074 5560 4591
57 3962 5469 4480
58 3954 5123 4377
59 3936 5236 4417
60 3936 4978 4341
61 4015 4935 4330
62 3998 5102 4372
63 3923 5309 4350
64 3782 5113 4384
65 3971 5506 4477
66 3969 6038 4412
67 3969 5679 4506
68 3982 5440 4579
69 4000 5814 4603
70 4105 5462 4616
71 3982 5396 4550
72 3982 5679 4692
73 3982 5750 4628
74 4105 6176 4840
75 4115 6399 4888
76 4111 6123 4731
77 4160 6038 4895
78 4160 6195 4817
79 4185 6426 4736
80 4185 6271 4759
81 4271 5826 4680
82 4122 5360 4674
83 4075 5409 4674
84 4075 5467 4688
85 4075 5408 4654
86 4163 5432 4557
87 3981 5547 4640
88 3968 5431 4621
89 3903 5473 4519
90 3974 5248 4495
91 3981 5287 4568
92 3981 5525 4567
93 3981 5187 4484
94 3981 5751 4560
95 3981 6031 4605
96 3981 5866 4674
97 3981 5786 4707
98 3981 5905 4757
99 4137 5833 4616
100 4137 5246 4584

