Population TheBest TheWorst AVG
1 4996 6449 5815
2 5014 6322 5607
3 4989 6078 5489
4 4986 5882 5333
5 4837 6031 5260
6 4623 5923 5204
7 4623 6144 5156
8 4613 5841 5045
9 4613 5666 5015
10 4516 5708 4995
11 4442 5663 5020
12 4347 5384 4888
13 4347 5489 4907
14 4355 5556 4933
15 4439 5445 4912
16 4430 5452 4883
17 4372 5527 4908
18 4342 5446 4822
19 4331 5422 4775
20 4280 5472 4718
21 4183 5417 4746
22 4183 5317 4731
23 4204 5568 4670
24 4214 5301 4641
25 4158 5250 4605
26 4125 5470 4596
27 4125 5727 4650
28 4125 5985 4706
29 4045 5724 4559
30 4086 5090 4486
31 4095 5191 4491
32 4090 5246 4487
33 4024 5333 4481
34 3969 5294 4442
35 3871 5051 4422
36 3928 5051 4442
37 3971 5105 4473
38 4025 5232 4451
39 3868 5073 4467
40 3756 5252 4492
41 3756 5168 4423
42 3756 5450 4404
43 3756 5114 4453
44 3928 5036 4428
45 3854 5262 4438
46 4040 5670 4466
47 4056 4895 4398
48 4004 5259 4463
49 4003 5371 4519
50 4003 5455 4510
51 4141 5721 4691
52 4141 5680 4679
53 4003 5445 4687
54 4141 5250 4609
55 4197 5527 4687
56 3979 5473 4703
57 3979 5319 4596
58 4081 5514 4724
59 4081 5333 4559
60 4076 5207 4468
61 3895 5269 4500
62 3895 5130 4414
63 3895 5604 4542
64 3895 5551 4558
65 3895 5372 4566
66 3972 5450 4631
67 3972 4954 4489
68 3987 5071 4487
69 3901 5244 4462
70 3901 4983 4405
71 3954 4943 4393
72 3954 5074 4351
73 3943 5375 4394
74 3900 5558 4404
75 3840 5587 4401
76 3840 5060 4316
77 3840 4927 4349
78 3840 5049 4345
79 3840 5094 4452
80 3840 5363 4449
81 3840 5289 4527
82 4002 5570 4473
83 3882 5175 4413
84 3924 5218 4346
85 3924 5140 4273
86 3809 4968 4241
87 3809 4990 4290
88 3690 5024 4322
89 3665 5222 4311
90 3673 5279 4374
91 3673 5086 4219
92 3663 4938 4164
93 3663 4806 4109
94 3552 5575 4174
95 3613 5070 4138
96 3540 5041 4112
97 3452 5055 4032
98 3355 5050 4092
99 3450 5081 4000
100 3450 5075 4018

